id,Methods,Selected Bands
0,BS-Net-FC,"[165, 38, 51, 65, 12, 100, 0, 71, 5, 60, 88, 26, 164, 75, 74,52,22,94,35,11,184,179,34,160,46]"
1,BS-Net-Conv,"[46,33,140,161,80,35,178,44,126,36,138,71,180,66,192,16,53,152,185,119,24,28,26,156,83]"
2,ISSC,"[171,130,67,85,182,183,47,143,138,90,139,141,25,142,21,181,3,34,13,14,11,10,190,187,189]"
3,SpaBS,"[7, 96, 52, 171, 53, 3, 76, 75, 74, 95, 77, 73, 78, 54, 81,94,88,91,71,72,79,80,55,92,56]"
4,MVPCA,"[167,74,168,0,147,165,161,162,152,19,160,119,164,159,157,163,158,156,20,154,118,148,153,149,155]"
5,SNMF,"[23,197,198,94,76,2,87,105,143,145,11,84,132,108,28,104,144,34,44,74,71,96,75,171,162]"
6,MOBS,"[8,14,21,22,30,33,39,51,52,64,79,80,86,87,106,114,124,128,135,141,160,168,169,182,196]"
7,OPBS,"[28, 41, 60, 0, 74, 34, 88, 19, 17, 33, 56, 87, 22, 31, 73,12,18,32,90,39,11,89,75,24,70]"
8,DABSRecNet,"[114, 118, 163, 42, 174, 178, 149, 77, 176, 190, 96, 169, 132, 134, 45, 98, 148, 125, 13, 121, 160, 166, 162, 170, 171]"
